post_id,post_content,predicted_sentiment,predicted_emotion,true_sentiment,true_emotion,created_at
21,Horrible and underwhelmed,negative,sadness,negative,sadness,2025-02-07 01:45:43
22,Tired and dissatisfied,negative,anger,negative,anger,2025-02-07 01:47:57
23,Very Happy,positive,joy,positive,joy,2025-02-07 01:50:02
24,Fine and good.,positive,joy,positive,joy,2025-02-07 01:50:10
25,I'm happy with the stability of income and how welcoming and friendly the faculty and staff are,positive,joy,positive,joy,2025-02-07 01:50:18
26,very Happy,positive,joy,positive,joy,2025-02-07 01:50:37
27,People around me helps me to get through my everyday life as a student of SPC,positive,joy,positive,joy,2025-02-07 01:50:47
28,"I guess I'm slightly in favour. They've made improvements, but I feel it doesn't accomodate all learning styles. Although, I could say that about every school. The education system sucks ass.",positive,joy,neutral,anger,2025-02-07 01:50:52
29,"Neutral, Im happy because of the friends i made from that school but kinda sad Because Im always exhausted after the class",negative,sadness,neutral,sadness,2025-02-07 01:50:53
30,very happy,positive,joy,positive,joy,2025-02-07 01:51:00
31,my current feelings as a member of spc community is that im happy that i meet more friends and my hope in spc is that i hope it continues to be a healthy community in or outside the campus,positive,joy,positive,joy,2025-02-07 01:51:46
32,Very very happy,positive,joy,positive,joy,2025-02-07 01:52:28
33,Good very good,positive,joy,positive,joy,2025-02-07 01:52:37
34,glad to make new friends within the community,positive,joy,positive,joy,2025-02-07 01:52:41
36,So so. I am happy to be part of the SPC Community but sometimes it's frustrating if you want to achieve something for the school but we have lack of resources.,positive,joy,positive,joy,2025-02-07 01:55:06
37,My current feelings as a member of SPC community is a little sad and bored. Right now spc is so quiet. There is no exciting event.,negative,sadness,negative,sadness,2025-02-07 01:56:54
38,Averagely happy,positive,joy,positive,joy,2025-02-07 01:57:30
39,Very very happy,positive,joy,positive,joy,2025-02-07 01:59:48
40,Tired of waiting and lost hope for improvement due to lack of community understanding,negative,joy,negative,sadness,2025-02-07 02:00:57
41,"I think a bit usual, nothing is surprising or exciting. It's okay, I guess. Nothing engaging as usual, but meh.",negative,fear,neutral,sadness,2025-02-07 02:02:14
47,Hard to achieve goals,positive,joy,negative,sadness,2025-02-07 02:05:58
48,Excited for all the upcoming activities for the PGM.,positive,joy,positive,joy,2025-02-07 02:07:40
49,I met decent people,positive,joy,positive,joy,2025-02-07 02:11:26
50,Stressed but still happy and satisfied . Still hoping for a University Status of San Pablo Colleges.,positive,sadness,positive,joy,2025-02-07 02:14:43
51,jubilant,positive,joy,positive,joy,2025-02-07 02:21:16
52,"As a member of the SPC community, I feel happy and hopeful because of the support, learning opportunities, and strong sense of belonging.",positive,joy,positive,joy,2025-02-07 02:21:18
53,"I feel challenged because the tuition keeps increasing, and there are so many fees to pay.",positive,joy,negative,sadness,2025-02-07 02:21:22
54,Its feel amazing and nice because i met a lot of people this day after my previous school and i see all professor or teacher that handle our section is so nice and really good at teaching and i love also the events. Its really happy to be part of this school while taking my dream course because they really help the student.,positive,joy,positive,love,2025-02-07 02:21:35
55,"as a shs graduated SPCian batch 23-24, im happy for the SPC because they keep upgrading the school and hearing out the students wants like the air conditioning, im happy that the school are hearing out the students",positive,joy,positive,sadness,2025-02-07 02:21:44
56,"As a member of the SPC community, I'm overflowing with happiness and hope!  It's a feeling that's hard to put into words, but it's like a warm hug on a cold day.  I'm so grateful for the connections I've made, the support I've received, and the opportunities I've been given.  The sense of belonging is incredible, and I know that I'm surrounded by people who care about me and want to see me succeed.  That alone fills me with so much hope for the future, both for myself and for the entire SPC community.",positive,joy,positive,love,2025-02-07 02:21:55
57,I describe my feelings as a contentment in my heart. I feel glad that I have found a second fami,positive,joy,positive,love,2025-02-07 02:22:29
58,I don't know the feeling but because of the members or my classmates that became my friends. It feels like there is hope for me to have friends. I am thankful for spc and its members for giving me hope.,positive,joy,positive,joy,2025-02-07 02:24:07
59,"As a first-year nursing student at SPC, I feel a mix of happiness and pressure. I'm excited about my journey and the opportunities ahead, but at the same time, I feel the weight of expectations, especially in comparison to my classmates.",negative,joy,positive,joy,2025-02-07 02:24:36
60,"Uhm, I feel mixed emotions. Yes, I’m happy to be part of this school at the same time overwhelmed because of the load of school works. That’s how I feel.",positive,joy,neutral,joy,2025-02-07 02:24:37
